Grain Image Name,Rice Type,Height (mm),Width (mm),Average Color
L1F23BSCS0118_Adhwar_Raw_002_Grain_0020.jpg,Adhwar,5.6338,2.6157,"[186.52814569536423, 187.5612582781457, 162.83443708609272]"
L1F23BSCS0118_Adhwar_Raw_003_Grain_0001.jpg,Adhwar,5.5012,1.9765,"[184.454128440367, 187.5091743119266, 172.67201834862385]"
L1F23BSCS0118_Adhwar_Raw_003_Grain_0002.jpg,Adhwar,4.2809,1.8517,"[182.80996884735202, 186.21495327102804, 167.27414330218068]"
L1F23BSCS0118_Adhwar_Raw_003_Grain_0003.jpg,Adhwar,6.2345,2.0807,"[182.03225806451613, 184.5370018975332, 166.7798861480076]"
L1F23BSCS0118_Adhwar_Raw_003_Grain_0004.jpg,Adhwar,5.9673,2.1099,"[193.2130177514793, 194.9940828402367, 174.10256410256412]"
L1F23BSCS0118_Adhwar_Raw_003_Grain_0005.jpg,Adhwar,4.1447,1.9313,"[186.43573667711598, 187.8934169278997, 169.67084639498432]"
L1F23BSCS0118_Adhwar_Raw_003_Grain_0006.jpg,Adhwar,5.642,1.8584,"[189.6816037735849, 192.3254716981132, 175.7995283018868]"
L1F23BSCS0118_Adhwar_Raw_003_Grain_0007.jpg,Adhwar,6.6033,1.8953,"[209.654296875, 211.740234375, 191.28515625]"
L1F23BSCS0118_Adhwar_Raw_003_Grain_0008.jpg,Adhwar,4.4789,1.7256,"[157.71147540983605, 156.07540983606557, 139.58360655737704]"
L1F23BSCS0118_Adhwar_Raw_003_Grain_0009.jpg,Adhwar,6.5595,2.1721,"[198.20833333333334, 200.828125, 182.05034722222223]"
L1F23BSCS0118_Adhwar_Raw_003_Grain_0010.jpg,Adhwar,4.8283,1.8587,"[167.5167597765363, 168.6536312849162, 146.15921787709496]"
L1F23BSCS0118_Adhwar_Raw_003_Grain_0011.jpg,Adhwar,3.4903,2.713,"[198.33333333333334, 198.29301075268816, 175.19354838709677]"
L1F23BSCS0118_Adhwar_Raw_003_Grain_0012.jpg,Adhwar,4.7598,1.8466,"[192.54107648725213, 195.28895184135976, 178.06798866855524]"
L1F23BSCS0118_Adhwar_Raw_003_Grain_0013.jpg,Adhwar,5.3808,1.9401,"[197.40334128878283, 198.77565632458234, 174.03341288782815]"
L1F23BSCS0118_Adhwar_Raw_003_Grain_0014.jpg,Adhwar,4.3843,1.9237,"[174.9560117302053, 175.84457478005865, 153.42228739002934]"
L1F23BSCS0118_Adhwar_Raw_003_Grain_0015.jpg,Adhwar,5.8939,2.032,"[180.36929460580913, 181.83195020746888, 158.88796680497924]"
L1F23BSCS0118_Adhwar_Raw_003_Grain_0016.jpg,Adhwar,4.7416,2.0979,"[183.00250626566415, 184.42606516290726, 163.09774436090225]"
L1F23BSCS0118_Adhwar_Raw_003_Grain_0017.jpg,Adhwar,4.2761,1.8793,"[185.5876923076923, 182.01846153846154, 155.28307692307692]"
L1F23BSCS0118_Adhwar_Raw_003_Grain_0018.jpg,Adhwar,4.4968,2.1048,"[183.58267716535434, 185.73753280839895, 166.9002624671916]"
L1F23BSCS0118_Adhwar_Raw_003_Grain_0019.jpg,Adhwar,5.3584,1.8099,"[192.5482233502538, 193.41116751269035, 171.53807106598984]"
L1F23BSCS0118_Adhwar_Raw_003_Grain_0020.jpg,Adhwar,5.459,1.9894,"[164.60411899313502, 162.85354691075514, 142.46453089244852]"
L1F23BSCS0118_Adhwar_Raw_004_Grain_0001.jpg,Adhwar,3.7146,1.8391,"[176.71955719557195, 180.27306273062732, 160.72324723247232]"
L1F23BSCS0118_Adhwar_Raw_004_Grain_0002.jpg,Adhwar,4.2414,2.0538,"[197.87965616045847, 199.4297994269341, 182.34383954154728]"
L1F23BSCS0118_Adhwar_Raw_004_Grain_0003.jpg,Adhwar,5.3112,1.9135,"[192.0390243902439, 190.56829268292682, 163.66341463414633]"
L1F23BSCS0118_Adhwar_Raw_004_Grain_0004.jpg,Adhwar,3.7929,1.8516,"[200.8303249097473, 201.81949458483754, 179.4548736462094]"
L1F23BSCS0118_Adhwar_Raw_004_Grain_0005.jpg,Adhwar,3.3123,2.0034,"[183.6138996138996, 185.59073359073358, 173.18146718146718]"
L1F23BSCS0118_Adhwar_Raw_004_Grain_0006.jpg,Adhwar,4.9332,2.0956,"[183.8595641646489, 186.1404358353511, 165.34624697336562]"
L1F23BSCS0118_Adhwar_Raw_004_Grain_0007.jpg,Adhwar,5.1992,1.9732,"[173.58955223880596, 173.84328358208955, 150.61691542288557]"
L1F23BSCS0118_Adhwar_Raw_004_Grain_0008.jpg,Adhwar,5.4324,1.9698,"[186.08215962441315, 186.0962441314554, 166.08920187793427]"
L1F23BSCS0118_Adhwar_Raw_004_Grain_0009.jpg,Adhwar,5.1802,1.9696,"[192.09925558312656, 193.9454094292804, 179.014888337469]"
L1F23BSCS0118_Adhwar_Raw_004_Grain_0010.jpg,Adhwar,4.0868,1.6742,"[156.9811320754717, 159.87924528301886, 141.00377358490567]"
L1F23BSCS0118_Adhwar_Raw_004_Grain_0011.jpg,Adhwar,5.2075,1.9862,"[187.65133171912834, 190.42615012106538, 173.818401937046]"
L1F23BSCS0118_Adhwar_Raw_004_Grain_0012.jpg,Adhwar,3.8997,2.1434,"[182.67069486404833, 185.08761329305136, 170.4773413897281]"
L1F23BSCS0118_Adhwar_Raw_004_Grain_0013.jpg,Adhwar,4.5839,1.9807,"[186.46153846153845, 188.2664835164835, 172.32967032967034]"
L1F23BSCS0118_Adhwar_Raw_004_Grain_0014.jpg,Adhwar,5.7925,2.2652,"[194.28709055876686, 197.0077071290944, 178.08670520231215]"
L1F23BSCS0118_Adhwar_Raw_004_Grain_0015.jpg,Adhwar,7.7445,1.96,"[189.46655791190864, 192.163132137031, 173.80913539967375]"
L1F23BSCS0118_Adhwar_Raw_004_Grain_0016.jpg,Adhwar,3.7395,1.6747,"[184.176, 179.036, 135.972]"
L1F23BSCS0118_Adhwar_Raw_004_Grain_0017.jpg,Adhwar,4.6748,2.0787,"[197.24415584415584, 199.07012987012988, 186.61818181818182]"
L1F23BSCS0118_Adhwar_Raw_004_Grain_0018.jpg,Adhwar,5.7022,2.1586,"[189.63114754098362, 192.22131147540983, 175.4487704918033]"
L1F23BSCS0118_Adhwar_Raw_004_Grain_0019.jpg,Adhwar,5.2808,2.1455,"[182.1840354767184, 183.99334811529934, 168.33259423503327]"
L1F23BSCS0118_Adhwar_Raw_004_Grain_0020.jpg,Adhwar,2.0947,1.8229,"[186.15384615384616, 187.18589743589743, 169.33333333333334]"
L1F23BSCS0118_Adhwar_Raw_005_Grain_0001.jpg,Adhwar,6.0465,1.4767,"[159.9364640883978, 161.37292817679557, 131.13812154696132]"
L1F23BSCS0118_Adhwar_Raw_005_Grain_0002.jpg,Adhwar,5.1498,1.9868,"[175.86231884057972, 178.86231884057972, 161.6014492753623]"
L1F23BSCS0118_Adhwar_Raw_005_Grain_0003.jpg,Adhwar,6.9582,2.1663,"[179.6889250814332, 180.40228013029315, 159.88110749185668]"
L1F23BSCS0118_Adhwar_Raw_005_Grain_0004.jpg,Adhwar,5.2548,2.0992,"[182.33256880733944, 184.0183486238532, 164.5481651376147]"
L1F23BSCS0118_Adhwar_Raw_005_Grain_0005.jpg,Adhwar,4.5476,2.1215,"[193.15064935064936, 195.76623376623377, 176.58961038961039]"
L1F23BSCS0118_Adhwar_Raw_005_Grain_0006.jpg,Adhwar,4.1965,2.1294,"[174.2853185595568, 176.9667590027701, 157.05817174515235]"
L1F23BSCS0118_Adhwar_Raw_005_Grain_0007.jpg,Adhwar,4.2787,2.1215,"[184.8986301369863, 186.08767123287672, 167.21917808219177]"
L1F23BSCS0118_Adhwar_Raw_005_Grain_0008.jpg,Adhwar,5.4208,2.4469,"[187.32596685082873, 189.60405156537755, 166.84530386740332]"
L1F23BSCS0118_Adhwar_Raw_005_Grain_0009.jpg,Adhwar,3.7203,1.796,"[179.75185185185185, 182.3925925925926, 161.86666666666667]"
L1F23BSCS0118_Adhwar_Raw_005_Grain_0010.jpg,Adhwar,3.7524,1.9855,"[194.88255033557047, 195.09395973154363, 177.95302013422818]"
L1F23BSCS0118_Adhwar_Raw_005_Grain_0011.jpg,Adhwar,5.7038,2.0302,"[200.863539445629, 202.85714285714286, 185.97867803837954]"
L1F23BSCS0118_Adhwar_Raw_005_Grain_0012.jpg,Adhwar,5.3979,1.7859,"[188.09254498714654, 190.78406169665809, 166.31362467866325]"
L1F23BSCS0118_Adhwar_Raw_005_Grain_0013.jpg,Adhwar,4.9053,2.0265,"[191.315, 191.1175, 166.965]"
L1F23BSCS0118_Adhwar_Raw_005_Grain_0014.jpg,Adhwar,2.2342,2.1484,"[178.00515463917526, 178.21134020618555, 161.01030927835052]"
L1F23BSCS0118_Adhwar_Raw_005_Grain_0015.jpg,Adhwar,3.3278,1.9415,"[175.1201550387597, 175.9922480620155, 159.29457364341084]"
L1F23BSCS0118_Adhwar_Raw_005_Grain_0016.jpg,Adhwar,5.4705,2.1447,"[161.98744769874477, 145.7092050209205, 92.53556485355648]"
L1F23BSCS0118_Adhwar_Raw_005_Grain_0017.jpg,Adhwar,4.7265,2.1386,"[174.98765432098764, 177.25925925925927, 156.38518518518518]"
L1F23BSCS0118_Adhwar_Raw_005_Grain_0018.jpg,Adhwar,4.4653,1.968,"[170.41666666666666, 160.80833333333334, 105.62222222222222]"
L1F23BSCS0118_Adhwar_Raw_005_Grain_0019.jpg,Adhwar,5.9533,1.7571,"[191.80331753554503, 193.37203791469193, 171.06398104265404]"
L1F23BSCS0118_Adhwar_Raw_005_Grain_0020.jpg,Adhwar,3.3626,1.767,"[173.18987341772151, 169.62025316455697, 146.8860759493671]"
L1F23BSCS0118_Basmati370_Raw_001_Grain_0001.jpg,Basmati370,7.191,2.1846,"[175.67946077513574, 177.42632465830368, 154.45122636210448]"
L1F23BSCS0118_Basmati370_Raw_001_Grain_0002.jpg,Basmati370,7.2319,2.1791,"[168.76128552851569, 171.67824633104217, 148.7767044399034]"
L1F23BSCS0118_Basmati370_Raw_001_Grain_0003.jpg,Basmati370,7.8434,2.0265,"[173.93281510272072, 176.49120858782157, 153.72478252822506]"
L1F23BSCS0118_Basmati370_Raw_001_Grain_0004.jpg,Basmati370,7.3839,1.9494,"[168.76320620028554, 172.10728125637365, 146.5794411584744]"
L1F23BSCS0118_Basmati370_Raw_001_Grain_0005.jpg,Basmati370,7.7004,1.966,"[167.22768811977446, 170.90472486875365, 148.548901419405]"
L1F23BSCS0118_Basmati370_Raw_001_Grain_0006.jpg,Basmati370,6.8812,1.6297,"[171.0456668396471, 173.47560975609755, 151.01660612350804]"
L1F23BSCS0118_Basmati370_Raw_001_Grain_0007.jpg,Basmati370,6.5534,2.0197,"[162.0396150402865, 164.6506266786034, 141.9149507609669]"
L1F23BSCS0118_Basmati370_Raw_001_Grain_0008.jpg,Basmati370,6.5952,2.0672,"[169.91964285714286, 173.61759581881532, 152.2212543554007]"
L1F23BSCS0118_Basmati370_Raw_001_Grain_0009.jpg,Basmati370,6.8541,2.0955,"[183.7893442622951, 186.9981557377049, 163.94610655737705]"
L1F23BSCS0118_Basmati370_Raw_001_Grain_0010.jpg,Basmati370,7.1619,2.0096,"[170.1007877196526, 172.66047263179155, 149.1900626136134]"
L1F23BSCS0118_Basmati370_Raw_001_Grain_0011.jpg,Basmati370,6.3552,1.9577,"[168.86837728676645, 172.1960085531005, 149.1862675219767]"
L1F23BSCS0118_Basmati370_Raw_001_Grain_0012.jpg,Basmati370,6.595,1.8864,"[170.58920575064812, 173.1376384633514, 150.7020975724723]"
L1F23BSCS0118_Basmati370_Raw_001_Grain_0013.jpg,Basmati370,6.636,1.9968,"[172.83292978208232, 175.8811358133392, 154.79484921857804]"
L1F23BSCS0118_Basmati370_Raw_001_Grain_0014.jpg,Basmati370,7.0861,1.8549,"[171.80177580466147, 174.46659267480578, 155.40821309655936]"
L1F23BSCS0118_Basmati370_Raw_001_Grain_0015.jpg,Basmati370,6.9995,1.8188,"[178.72940908053843, 181.85284052019165, 162.72370522473193]"
L1F23BSCS0118_Basmati370_Raw_001_Grain_0016.jpg,Basmati370,6.528,2.124,"[174.16591639871382, 176.52282958199356, 153.7230439442658]"
L1F23BSCS0118_Basmati370_Raw_001_Grain_0017.jpg,Basmati370,7.7474,1.8562,"[162.05683872263506, 164.98252661176943, 142.5942960433822]"
L1F23BSCS0118_Basmati370_Raw_001_Grain_0018.jpg,Basmati370,7.2913,2.0774,"[174.97072508724312, 177.82299340829778, 155.74428072896472]"
L1F23BSCS0118_Basmati370_Raw_001_Grain_0019.jpg,Basmati370,7.4525,2.0361,"[168.55137118578602, 171.04132869833913, 147.7794515256856]"
L1F23BSCS0118_Basmati370_Raw_001_Grain_0020.jpg,Basmati370,5.9329,2.0353,"[161.73688064437394, 164.12496948987064, 142.47132047839884]"
L1F23BSCS0118_Basmati370_Raw_002_Grain_0001.jpg,Basmati370,6.9232,2.0721,"[152.55020080321285, 156.1285140562249, 135.70682730923696]"
L1F23BSCS0118_Basmati370_Raw_002_Grain_0002.jpg,Basmati370,6.634,1.9853,"[170.17516629711753, 173.68514412416852, 154.6319290465632]"
L1F23BSCS0118_Basmati370_Raw_002_Grain_0003.jpg,Basmati370,7.2487,2.0856,"[169.79732313575525, 173.38814531548758, 151.81835564053537]"
L1F23BSCS0118_Basmati370_Raw_002_Grain_0004.jpg,Basmati370,7.0954,2.0441,"[176.30019880715705, 179.60039761431412, 159.99403578528828]"
L1F23BSCS0118_Basmati370_Raw_002_Grain_0005.jpg,Basmati370,6.8253,2.0237,"[171.22362869198312, 174.5759493670886, 153.81012658227849]"
L1F23BSCS0118_Basmati370_Raw_002_Grain_0006.jpg,Basmati370,6.8126,2.0201,"[167.23430962343096, 170.49163179916317, 149.918410041841]"
L1F23BSCS0118_Basmati370_Raw_002_Grain_0007.jpg,Basmati370,7.42,2.0241,"[175.57251908396947, 179.18320610687022, 157.2729007633588]"
L1F23BSCS0118_Basmati370_Raw_002_Grain_0008.jpg,Basmati370,6.7881,2.1693,"[176.2085020242915, 179.41093117408906, 159.58704453441297]"
L1F23BSCS0118_Basmati370_Raw_002_Grain_0009.jpg,Basmati370,7.171,1.9982,"[169.6004056795132, 173.05679513184583, 151.99797160243406]"
L1F23BSCS0118_Basmati370_Raw_002_Grain_0010.jpg,Basmati370,6.461,2.004,"[159.6945701357466, 163.18778280542986, 143.78280542986425]"
L1F23BSCS0118_Basmati370_Raw_002_Grain_0011.jpg,Basmati370,6.8081,2.1424,"[167.98785425101215, 170.70445344129556, 147.80364372469634]"
L1F23BSCS0118_Basmati370_Raw_002_Grain_0012.jpg,Basmati370,7.794,1.98,"[168.75791433891993, 171.89385474860336, 151.58472998137802]"
L1F23BSCS0118_Basmati370_Raw_002_Grain_0013.jpg,Basmati370,7.4975,2.0541,"[177.35673624288424, 180.5977229601518, 161.62428842504744]"
L1F23BSCS0118_Basmati370_Raw_002_Grain_0014.jpg,Basmati370,7.7288,2.1282,"[172.8238434163701, 176.01067615658363, 156.28469750889678]"
L1F23BSCS0118_Basmati370_Raw_002_Grain_0015.jpg,Basmati370,7.0115,2.006,"[165.69387755102042, 169.09591836734694, 148.46326530612245]"
L1F23BSCS0118_Basmati370_Raw_002_Grain_0016.jpg,Basmati370,6.9275,1.9822,"[169.09725158562367, 172.59619450317123, 150.84566596194503]"
L1F23BSCS0118_Basmati370_Raw_002_Grain_0017.jpg,Basmati370,5.6979,2.0262,"[158.63104325699746, 161.735368956743, 139.73027989821884]"
L1F23BSCS0118_Basmati370_Raw_002_Grain_0018.jpg,Basmati370,7.3376,2.051,"[171.8728323699422, 175.33911368015416, 155.67437379576108]"
L1F23BSCS0118_Basmati370_Raw_002_Grain_0019.jpg,Basmati370,6.6548,1.7366,"[166.91044776119404, 170.01990049751242, 149.3855721393035]"
L1F23BSCS0118_Basmati370_Raw_002_Grain_0020.jpg,Basmati370,6.736,1.8348,"[170.42990654205607, 173.2336448598131, 154.75934579439252]"
L1F23BSCS0118_Basmati370_Raw_003_Grain_0001.jpg,Basmati370,6.2484,2.1726,"[188.5362010221465, 192.09859454855197, 171.32708688245316]"
L1F23BSCS0118_Basmati370_Raw_003_Grain_0002.jpg,Basmati370,6.7413,1.9289,"[178.0612910236905, 181.53640512931972, 159.16126928928495]"
L1F23BSCS0118_Basmati370_Raw_003_Grain_0003.jpg,Basmati370,5.7931,2.0548,"[171.8755458515284, 175.43085880640467, 153.2559437166424]"
L1F23BSCS0118_Basmati370_Raw_003_Grain_0004.jpg,Basmati370,6.3851,1.863,"[179.30275878330582, 182.0987974534308, 160.8290497524169]"
L1F23BSCS0118_Basmati370_Raw_003_Grain_0005.jpg,Basmati370,7.4977,1.9522,"[182.80424393041483, 185.9199005926209, 162.92467979353853]"
L1F23BSCS0118_Basmati370_Raw_003_Grain_0006.jpg,Basmati370,7.3545,1.9503,"[171.6635294117647, 175.38607843137254, 151.96274509803922]"
L1F23BSCS0118_Basmati370_Raw_003_Grain_0007.jpg,Basmati370,6.2772,2.0472,"[180.91714665485156, 184.32122286220647, 162.92910943730615]"
L1F23BSCS0118_Basmati370_Raw_003_Grain_0008.jpg,Basmati370,7.2971,2.0027,"[180.29915867736256, 183.97378203873998, 159.9281940911759]"
L1F23BSCS0118_Basmati370_Raw_003_Grain_0009.jpg,Basmati370,6.9253,1.9402,"[171.96893366918556, 174.82976490344248, 153.1337111670865]"
L1F23BSCS0118_Basmati370_Raw_003_Grain_0010.jpg,Basmati370,6.7189,2.01,"[185.23599828986747, 188.2960666951689, 167.30932022231724]"
L1F23BSCS0118_Basmati370_Raw_003_Grain_0011.jpg,Basmati370,6.5951,1.9196,"[174.22528684907326, 177.4810238305384, 156.15445719329213]"
L1F23BSCS0118_Basmati370_Raw_003_Grain_0012.jpg,Basmati370,7.5307,2.1122,"[185.71170846112213, 188.7697997474292, 166.46725599855674]"
L1F23BSCS0118_Basmati370_Raw_003_Grain_0013.jpg,Basmati370,6.5424,1.9315,"[177.88323621694306, 181.19878978036755, 159.45831465710444]"
L1F23BSCS0118_Basmati370_Raw_003_Grain_0014.jpg,Basmati370,7.2227,1.991,"[183.46067415730337, 186.63571850975754, 167.34811748472305]"
L1F23BSCS0118_Basmati370_Raw_003_Grain_0015.jpg,Basmati370,5.9863,1.9197,"[171.97404505386876, 173.99804113614104, 149.23775710088148]"
L1F23BSCS0118_Basmati370_Raw_003_Grain_0016.jpg,Basmati370,6.8672,1.9594,"[181.92968421052632, 185.12463157894737, 165.80526315789473]"
L1F23BSCS0118_Basmati370_Raw_003_Grain_0017.jpg,Basmati370,7.3086,1.9119,"[175.40355483740657, 178.607554029489, 154.92971116946072]"
L1F23BSCS0118_Basmati370_Raw_003_Grain_0018.jpg,Basmati370,6.9232,2.0023,"[184.9001840867253, 188.38576395991, 166.07261198609123]"
L1F23BSCS0118_Basmati370_Raw_003_Grain_0019.jpg,Basmati370,7.1483,2.3171,"[181.41950306330838, 184.4649421375085, 159.4583049693669]"
L1F23BSCS0118_Basmati370_Raw_003_Grain_0020.jpg,Basmati370,6.1245,1.9462,"[184.73686701372455, 188.0511121628017, 167.44344533838145]"
L1F23BSCS0118_Basmati370_Raw_004_Grain_0001.jpg,Basmati370,7.0094,2.0652,"[166.85651478816948, 169.96442845723422, 147.03077537969625]"
L1F23BSCS0118_Basmati370_Raw_004_Grain_0002.jpg,Basmati370,5.9006,2.1334,"[168.7983212870133, 170.90767078573094, 148.20424341338307]"
L1F23BSCS0118_Basmati370_Raw_004_Grain_0003.jpg,Basmati370,6.9946,2.1561,"[178.0221793635487, 180.65091610414657, 159.37473481195758]"
L1F23BSCS0118_Basmati370_Raw_004_Grain_0004.jpg,Basmati370,7.5787,2.1049,"[173.59224748415951, 176.77487886693999, 153.87402161759223]"
L1F23BSCS0118_Basmati370_Raw_004_Grain_0005.jpg,Basmati370,6.8266,2.0738,"[167.70295587010824, 171.50416319733554, 147.01748542880932]"
L1F23BSCS0118_Basmati370_Raw_004_Grain_0006.jpg,Basmati370,6.0371,2.0616,"[182.23783031988873, 184.86045433472415, 159.42049142327306]"
L1F23BSCS0118_Basmati370_Raw_004_Grain_0007.jpg,Basmati370,7.1555,2.0858,"[181.5023538642605, 184.56120047077286, 161.34072185170655]"
L1F23BSCS0118_Basmati370_Raw_004_Grain_0008.jpg,Basmati370,6.4942,1.8812,"[174.5205543810195, 176.64411557434812, 153.404980032887]"
L1F23BSCS0118_Basmati370_Raw_004_Grain_0009.jpg,Basmati370,6.6675,1.848,"[169.91274694261523, 173.18579492003764, 150.7615239887112]"
L1F23BSCS0118_Basmati370_Raw_004_Grain_0010.jpg,Basmati370,6.8134,2.1783,"[176.47179487179488, 179.29092702169626, 155.82248520710058]"
L1F23BSCS0118_Basmati370_Raw_004_Grain_0011.jpg,Basmati370,6.5954,1.8729,"[173.04181184668988, 175.99883855981417, 156.9535423925668]"
L1F23BSCS0118_Basmati370_Raw_004_Grain_0012.jpg,Basmati370,6.8529,2.0092,"[180.6696258719087, 183.3441132952864, 162.56372859860494]"
L1F23BSCS0118_Basmati370_Raw_004_Grain_0013.jpg,Basmati370,7.122,2.1267,"[170.868603308965, 174.1165833012697, 151.56002308580224]"
L1F23BSCS0118_Basmati370_Raw_004_Grain_0014.jpg,Basmati370,6.6996,1.8445,"[174.58631232361242, 177.32478833490123, 154.9346190028222]"
L1F23BSCS0118_Basmati370_Raw_004_Grain_0015.jpg,Basmati370,7.259,1.8363,"[169.60826517434353, 170.4375807145932, 142.87300904003445]"
